HG00121	 21.4045  38.3202 -6.42201  11.6449  1.11455   3.2814   1.2422  1.19667 -2.22149 -2.91878  5.68689   1.9019  8.39539  1.71122 0.198464  4.08037  1.83083  2.21251  4.63349 -0.35887
HG00122	  20.5228   36.8367  -8.02413   12.7291   2.38382   4.08243  -1.27546  -1.11512  -5.08319  -6.56778   6.63144   2.78844  -1.65094   1.61171  -1.89233  -2.72461 -0.975074  -6.05504   2.81594   1.64195
HG00123	  19.7561   37.6072  -6.62822   11.2847    2.1691   5.09383  -1.21774 -0.831054  -5.42808  -4.93764   4.56696   4.90582  0.282243  0.615702  -2.13672   5.69351   6.02741  -5.81089  -2.78404   4.39792
HG00125	   20.8864    37.5643   -7.18745    11.8109    1.04104    3.18303   0.163075   -1.10174     2.4965 -0.0146815    4.73954    3.43672    3.51838    3.75165   -4.56494  -0.698742   -1.23978   0.870538   -1.69243   -1.52963
HG00126	   20.1338    39.2315   -7.30142    12.6272    1.08849   -0.11253   -2.47277   0.318512   -1.93218   0.663595    3.36683   0.577014    4.12763    6.35303   -1.98254 -0.0226434   -1.37284   -4.93041   -2.39232   -1.99174
HG00127	  22.1723   37.8785  -5.81937   12.4714 -0.788682   1.66318 -0.023059   1.47827  -2.71155 -0.729366   8.72829   6.45857   2.27926   2.08364   1.04688   3.05868   2.55914  0.804424  -3.43506  -1.35705
HG00128	   20.8209    37.8816   -6.62817    13.5646   -1.50448    2.77774  -0.373956  -0.236985   -3.11721   0.614796    5.21941    5.91431    3.51487  -0.585575  0.0326762    0.78061   0.187786    0.23493    -4.1285 -0.0498786
HG00129	  20.6147    38.635  -8.34109   11.5406 -0.453617   3.57931  -2.32355   -1.6644  -3.72096  -4.21167   5.04674   2.24633  -5.02929    2.2312  -4.04187  -2.66013 -0.703888  -2.75023  -3.47952  -1.51069
HG00130	  20.0229   40.0001  -7.16914   13.8292   -0.1216  0.495663  0.879696  0.403122 -0.164242 -0.938173   2.78047  0.541493   2.83547 -0.502963  -1.24386 -0.102308   4.66995  -3.50136   3.76344   2.59893
HG00131	  20.7051   38.0807  -5.87512   13.5008 -0.685706   2.41512   1.73552   1.80214  -2.26646   1.67214    5.9248 -0.567005   -1.7165   3.34778  -6.44892  -1.60232   -3.0736  -3.12923   4.15432  -3.32459
HG00132	  22.0065   39.7002  -5.34657   13.5817  0.702462   2.97766  0.111887   -0.9744  -2.45772   -1.0088 0.0112228   8.63913   4.33819  0.501352   2.07654 -0.558946   2.94092  -4.52084  -3.53102   -4.3099
HG00133	  21.2928   37.7339  -7.41692    10.496  -1.66256   2.37342  -1.08154 -0.606896 -0.945794   -2.6739   5.30532   4.16382   5.05156   1.59922   -4.4772    1.3064   2.81919 -0.478333 0.0253625  -5.32014
HG00134	  21.5687   37.4883  -9.39421   10.8989  -2.38588  0.426995 0.0133974   1.49684  -2.55553  -2.27184   8.74871   3.62123  0.245829   3.20286 -0.284873 -0.523855    6.3488   -4.4539  -2.59746   4.05556
HG00135	  20.9254   38.5079  -6.05981   11.0147 0.0714494    3.8823 -0.760748  0.626658   2.44011   2.53893   4.24766   -3.6374   13.0474     3.069   -1.7916   3.51324   10.2727   4.40614   6.21099 -0.890083
HG00136	  23.0724   37.6693   -8.8177   12.7398  -1.33572   4.82762  -2.35866  -1.74746  -2.60597  -3.32723  0.357028   6.76466 -0.917091   2.51726 -0.270552   2.98839  -2.05218  -0.38397 -0.017313  0.441165
