HG00122	  -1.56139    8.38447   -10.1896  -0.919256    3.55137 -0.0705597    6.20625   -13.3128   -5.74295   -6.87511   -7.96009   -5.51609    2.27719   -7.63093    5.39912   -15.6438   -13.9383    1.95493   -6.70704   -3.26473
HG00123	 -2.7718  12.1713  1.55698 0.233451  -9.7562    3.848 -12.8134  -13.603 -18.0356 -10.3205 -2.37023  2.09355 -2.49256  9.42135 -1.46062 -5.08633  2.49161  5.66115 -6.50216   2.6796
HG00125	  -1.53189    10.9254   -8.99975   -3.24252   0.432237    3.32676     -6.412    1.11832    3.91548   -8.13943   -9.17665 -0.0471768   -11.6813    3.25776   -8.66781   -4.24752   -12.8233    1.82774   -3.65593    2.24041
HG00126	   2.4441   9.65775   1.38331  -4.59947   12.7057   3.77021  -4.31439   -18.229  -4.31705   5.37381   8.90382   -3.3102   2.59193  -5.19623  -3.46333 -0.616448   2.88864    4.9294  -9.24979   3.92884
HG00127	  1.47199   9.76408   1.44067  -2.52713  0.900134  0.899108  -6.21925   1.42059  -11.7878   14.5975   -5.5509  -1.89505  -1.73944   7.88814 -0.817625  0.287674   10.0455  -2.17538   -1.3166  -4.32102
HG00128	-0.104303   9.22964  -1.98394   2.30576  -1.40129   3.74346  -2.52715   3.09219  0.030152   8.25374   -3.1849   8.94887  -4.11413  -2.17548   -6.5051  -11.8754  -5.68994   6.58936   3.91675   2.11858
HG00129	-1.23352  5.34793  -14.397 -2.93529 -3.63072  1.56171  1.09131 -4.82457  2.37927   5.7889 -1.15956  -1.2415  8.07992 -3.95887  4.69237  12.1434  7.99724  -1.1337  13.4777 -1.50817
HG00130	  2.85052   8.20305    3.7347  0.876464  -4.41962   1.38029   -10.993   3.44288   2.88426  -7.71199 -0.159158  0.539278    2.6518  -3.48335  -9.25687   3.60487   -3.8907   1.43445   2.28954    1.3255
HG00131	0.199509  6.99312 -9.70531 -3.85925  2.22571  3.07707  3.47657 -1.56037 -9.58342  5.70862 -2.32781 0.470258 -8.85551 0.939227 -9.77424 -9.00342   6.8835 -9.42391 -7.90244 -4.56487
HG00132	-0.709221   6.98726  -1.83855  -12.1337  -3.86747  -1.30897  0.711556  -5.16421    1.6261   6.49275  -2.75909   4.13642   3.58214  -11.0988   16.4584  -3.09052   6.49458   10.6359   9.27252   5.43507
HG00133	  0.60274   11.8889  -4.61082  -1.12945   8.40459   -1.9289   0.13934  -10.6118  0.801549   4.58786   -13.098   9.28007  -5.51136  -2.82322  -3.20902 -0.523871  -5.11231  -3.74191  -4.12635   11.2487
HG00134	  1.78139   12.8472   6.62907 -0.287409  -16.9375  -14.2087  -6.75551  -4.12212   2.19684  -24.3129   2.79092  -1.73526  -20.2119   1.14212  -5.84825  -5.73603  0.405857  -16.5461   -12.623   13.2773
HG00135	 -1.85254   11.6431   14.1345   18.2242   4.36124   3.42015 -0.465141   3.79629  -7.26464  -1.35843   5.51768  -6.94802  -4.21715  -3.71026  -2.05748  -17.3681   7.28191 -0.180158  -7.41781   3.00419
HG00136	 -2.53311   7.96676  -3.71185  -5.93759  -5.17758   6.03313 -0.145207  -3.99212  -1.08654  -5.02166  -5.47812  -7.03286  -6.02189   1.69571  -7.20023  -1.63188  -3.51564  -1.12234   9.51889   3.79658
HG00137	0.00299775    6.66518   -20.3827 -0.0766522   -9.43808   -8.30887   0.625834    6.28466    6.55014   -8.65377    2.00531   -7.09035    6.95563   -5.36572    8.37488    1.03321    9.81394    2.58016    3.03666   0.341198
HG00138	  1.36351   7.22533   5.87171  -5.07113  -3.61953 -0.435209  -5.24927  -2.76997   6.51414 -0.558123   1.07948   2.49821  -10.0726   8.40482   -3.2721   1.17724   2.83118   18.8872   -9.9293   5.08515
HG00139	  1.38313   9.37636   14.0964  -9.69052 -0.144674 -0.706911   -1.2778  -6.34561  -6.52746  -5.98772  -6.91185  -8.35653   0.24353   5.11946  -2.45229  -6.98904   11.4826   2.93124    5.2332   2.40948
HG00140	  1.50802   9.59637  -6.02103  -7.73868  -4.47285   8.55005   3.94924  -1.54238   10.0679  -6.08027  -0.30772  -7.17315  -5.62397 -0.949619  -7.71015   3.93825   2.76075  0.831927   3.11386  -2.05104
HG00141	-0.495522   8.68315  -4.60733   1.87583  -2.01015  -7.82005   3.19272   3.52126   13.2459   3.16184  -5.21207   14.4686   5.40768  -12.5396    4.8452  -7.27086   4.37859   2.58685  -8.43082  -4.15797
HG00142	  1.4302  5.65124   2.3751 -2.53812 -20.9183 -13.8295  -5.0835 -8.49158 -1.10427 -24.8072  5.37979 -7.02268 -16.5834 -1.11534 -11.8036  3.88935  2.31374 -11.2517  -5.4755  10.4814
HG00143	 0.912367   5.95222  -9.04928  0.632534  -8.43996   15.6161  0.333385  -3.45198    -6.657  0.200137   6.40743 -0.519148  -8.70115  -8.81421  -2.40842  -1.14119   7.54641  -4.27222  -2.21739  -3.16498
HG00145	  2.82559   13.1596  -2.83083   6.08375   5.35523   6.10377   -5.0613  -6.32922  -9.70223  -3.14202   8.15839  0.499471   5.95549  -3.03082   4.90654 -0.996873   7.53664 -0.681864  -6.75749  -7.29543
HG00146	 2.82371  6.61877 -6.52521  8.58276 -3.31684  1.79325 -2.64047 -5.51654  1.80015  3.11282  4.84447  5.90538  3.22281 -4.68674 0.704653  7.04608  1.77933 -6.57631 0.256406  4.91896
HG00148	  1.48693   8.89061   1.05574  -4.84326  -7.66381    2.0193   2.63075  -1.77714   11.0243   2.76717   1.88719 -0.551294  -9.32608  -1.76721   3.54649  -1.51612  -4.96736  0.268694   3.10547  -1.63063
HG00149	 0.728944   4.13228  -2.60738  -5.98687  -3.59223   13.3052   5.65821  -5.71956  -1.15989   7.83156   5.40762  0.133744 -0.718038  -1.42243    -11.97   6.85253  -5.81029  -6.24985  -1.73218   4.15801
HG00150	-0.208506   13.6726  0.799845  -5.17614  -2.49382   1.70824   4.07902  -1.24526   2.91312  -5.31853  -3.48182  -1.50844   18.2117  -5.66098  -4.20254  -13.6298   10.9816  -5.83836 -0.703663  -11.8631
HG00151	 -1.74053   5.35001  -6.20306   1.37756  0.271905   8.27499   3.01002   5.37865   7.35328   6.23316 -0.693551    3.8262  -5.28387   1.58728  -9.91217  -3.72364  -4.71543   -6.6304   11.4583 -0.910723
HG00152	-0.294367    8.8183   3.36506  -2.73004  -11.5246 -0.974204  -3.33593  0.276491   9.13752  -6.62436   1.52691 -0.796376  -0.75456   15.0557   8.18604   -2.7596   8.64547  -3.36925  -6.06286   1.09811
HG00154	 0.502732    4.6381   3.41909 -0.641376   1.99496  -2.11593   1.53405 -0.364399  -3.39145  -2.41437  -3.22597   2.24036   5.09577  -2.25851   5.18503  -6.72895   3.36894    6.5815   9.44607   5.91238
HG00155	 -1.33812   7.90054   3.76916   2.66657  -7.45069  -8.81466  0.195357  -5.15907 -0.668283  -7.19728  -2.98515  -3.19557  -2.95004   3.66749  -8.02607   3.87908    2.3178   0.95343  -5.60131   2.64008
HG00156	0.163551  8.96122 -13.3849  -4.5015 -2.91086  8.17181 -7.48758  1.20562 -4.15973 -6.32937  2.16087 -4.34375 -5.62311 -10.4412  4.45254 -4.90721  10.3165  16.8875  3.19894 -12.2661
HG00157	  -2.64373    11.9842    5.65849    3.66512    10.5184   -4.56805   -2.20316 -0.0447404   -5.79365    -7.2213    8.86815  -0.961574   -5.00702   -6.42174    1.41684   -2.71621    3.46725      20.39   -2.42904   -11.5789
HG00158	-0.631894   8.43167  -1.92546   3.93039   2.03534   8.12386 -0.604386  -8.64427   11.9124   3.10491  -1.99648   14.2753  -2.12106  -3.75946   3.66118 -0.146337   1.35788   9.71491  -15.8318   14.5066
HG00159	-0.0626351    7.41015      5.627    1.75769    1.36555    7.16239   -2.14417   0.285432    8.81973    4.16009   -2.15904  -0.704318    -1.4731   0.891085  -0.660199   -7.50985    4.27167   -1.97109    4.35254    3.05807
HG00160	-1.25093  8.47069 -6.67895  4.50906  1.90878  4.84588 -6.69649 0.301584  2.62091 -5.77809  4.80918  7.05448  5.90635  1.30301 -4.44452 -2.30515  1.39503 0.616544 -2.68336  5.41934
HG00171	 -23.9122  -8.55477   8.53775  -2.99242  -12.7132  -11.6142  -4.78234  -12.7791   3.59495  -1.84934  -2.01755  -1.70094   13.7222   3.98985   7.75735   9.18675   2.99239 -0.498206  -12.1743   6.68253
HG00173	 -23.2635  -9.86034  -6.69834  -9.79906  -5.14544   15.7167  -6.38029  -5.38111  -4.72587 -0.811579  -8.48675 -0.248995  -10.4653 -0.309537  -4.54553   1.35462   8.08424    -11.11  -2.05663   3.47402
HG00174	  -16.3614   -2.83229    5.56901   -2.51282 -0.0219366   -11.4679   -2.96601    8.18697    6.65711    4.06429    1.74006   -4.55257  -0.186052    5.11668   -4.64155   -3.94856   -3.89716    -5.7784   0.910354   -1.68149
HG00176	-23.8665  -7.4466 -2.79842  7.99754  1.67425  1.66394  2.10264  2.99186 -8.44569  7.16103 0.134593 -10.2853  0.40614 -3.56428  7.14906 -2.43209  -3.1428  -15.145  9.45747 -8.29878
HG00177	-22.9978 -5.69288 0.607682 -3.95407 -4.68365 -2.94655  4.51494 -13.4897 -2.29765 -2.02151  9.20019 -2.76492 -11.7845 -5.63613  1.90933  3.34135 -5.07791  2.18252  4.74899  5.74068
HG00178	 -21.4381  -1.53775  -2.19358   10.5266   4.05569   3.73836   9.95732  -8.31781  -6.60146   2.60291  -14.8347  -4.72543   2.62355  -16.7215    5.4049   5.83896  -1.10547   2.29141 -0.482152   9.02607
HG00179	 -20.8519  -3.28072   9.63637   7.23703   7.18606   7.49863  -1.81719   -4.1811 -0.928732  -11.2736  -4.58267   6.86994  -12.7525  -1.52566  -1.14676   -6.2659   2.08275   3.80783     8.926  -10.1688
HG00180	 -20.9874  -3.18016   4.76505  -6.50216   2.47176   1.77809  -5.49906  0.294658  -2.95412 -0.539805   3.17222  -5.83979    15.676  -1.86896   6.62073   1.76808  -4.95724   4.16094  -7.63628    3.4917
HG00181	 -15.7569  -4.95682   1.48485  -5.31559  -6.38982   2.02288 0.0902723  -4.45545  -1.22898   6.76529    5.3204    3.0349   1.02768   3.66691  0.282081    8.9211   1.49452  -2.69503  -7.85761   3.25326
HG00182	 -23.4441  -8.28883  -4.31541   6.04983  -2.63708   7.44358   8.19724   17.1639   8.15335   3.07801    2.6051   3.87952   4.37687   9.72464   -6.9965   1.70229   6.34434   -6.1023 -0.855045   10.5261
HG00183	-20.8928 -7.18391  10.4969 -6.25179 -9.38323 -9.50914 -10.5095  2.78885 -2.28099  9.85611 -3.52053 -2.45076  9.37502 -1.68391   6.7141 -18.7803 -14.1396 -1.65973 -0.61259  12.0272
HG00185	  -25.651  -6.29795 0.0238314  -6.96022  -1.73127   1.44199  -2.25938   -8.9948   8.61769  -2.17524   9.05486 -0.870921  -10.0556   5.68094  -1.02509   12.0852  -5.72149   5.26602   4.58671 -0.239923
HG00186	-23.2947 -10.9475 -6.73603 -10.9981  5.23048 0.903604 -6.06016  1.86396 -3.34484  1.19981 -15.3078 0.269331 -6.04534  4.47982 -2.34005 -4.26027 -8.47636   10.268   3.4297   10.165
HG00187	 -26.3939  -11.7023  -10.4103  -2.50379   6.30681   6.54974   7.60656  -12.8182   7.28362  -7.71855   1.97165  -2.57358   4.74606   1.54066   15.7358   4.45131 -0.778615   6.25346  0.851146  -6.42276
HG00188	 -20.1021  -10.8732  -3.00165  -4.94359  -5.88826   1.63322  -5.31294  -12.8584   2.47478  -2.86497 -0.471154  -7.59985   1.65191  -9.97517  -6.08392  -5.49971   1.88408    3.4675  -4.64745 -0.970072
HG00189	 -19.7321  -1.00733   8.55886   2.42233 0.0999588   5.05463   9.42702  -1.28548  -1.00463  -5.16771   5.93015  -2.93303  -6.05959   2.50226   6.72249   2.22926  -7.78669    6.2831    5.5014  -3.64454
HG00190	-16.2456 -3.73093  8.53388 0.310329 -2.35061 -4.97136 -14.3097  3.13347  -1.0495 0.336824  8.21387  -2.1109 -11.1371 0.766128 -1.30141 0.173416 -5.66776  23.1987 -2.52593  1.99018
HG00231	 0.101882    7.5062  -7.24403  -1.52874 -0.350699  -4.63348  -5.73039   10.6285   6.44748 -0.211492  -4.92092   9.15512   3.34112  -1.97479   2.78076   3.70456     12.51   1.33305   8.18163   2.84927
